Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,14,0.856974,1.34943,-0.000505975,0.00122153,1.38609e-06,13,12,TAK,0.000443779,-0.000320862,3.54439e-07,10,9,TAK,1.07054,-0.535269,0.877362,48,47,47,NIE
,15,-1.70249,0.188227,-1.23316,0.890424,0.894177,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873773,0.298638,44,43,43,NIE
,16,-0.805857,1.67735,-0.0003846,0.000928507,8.00856e-07,18,17,TAK,3.26897e-05,0.000416707,1.89404e-07,18,17,TAK,-1.07054,0.535274,0.877362,46,45,45,NIE
,17,1.12002,0.858609,0.000521318,-0.00125857,1.47143e-06,14,13,TAK,0.000123234,-0.000216174,5.04645e-08,17,16,TAK,1.07054,-0.535269,0.877362,47,46,46,NIE
,18,0.643692,0.705308,-0.000362966,0.000876277,7.13291e-07,12,11,TAK,1.11615e-05,0.000314839,1.02887e-07,9,8,TAK,1.07054,-0.535269,0.877362,46,45,45,NIE
,19,1.22979,1.32963,0.000555593,-0.00134132,1.67128e-06,14,13,TAK,6.3305e-05,-0.000349191,1.07844e-07,14,14,TAK,1.07054,-0.535269,0.877362,48,47,47,NIE
,20,-1.16573,0.397302,-1.86399,0.793052,0.414682,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535269,0.877362,39,38,38,NIE
,21,0.388232,-1.3256,0.000493037,-0.00119029,1.31611e-06,15,14,TAK,4.79489e-05,-0.000231494,4.70879e-08,10,9,TAK,4.86354e-07,-2.26838e-06,4.51538e-12,47,46,46,TAK
,22,1.98346,-1.93853,1.85375,-0.761728,0.405004,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873778,0.298638,47,46,46,NIE
,23,-0.214856,1.54051,-0.000529881,0.00127924,1.52016e-06,15,14,TAK,-3.45711e-05,0.000206585,3.79259e-08,10,9,TAK,-3.51945e-07,2.74098e-06,6.79602e-12,47,46,46,TAK
,24,0.943972,-1.83419,1.36443,-0.860598,0.726002,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535273,0.877362,47,46,46,NIE
,25,-1.5784,0.180588,-1.41318,0.864481,0.659575,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873773,0.298638,44,43,43,NIE
